Date,kWh,Temp_avg,Dew_avg,Hum_avg,Wind_avg,Press_avg,Precipit
2017-11-25,0.31758333333333333,63.7,55.8,78.3,3.9,29.9,0.0
2017-11-26,0.48420833333333335,62.9,51.0,69.0,4.2,30.1,0.0
2017-11-27,0.3420833333333333,59.0,45.4,64.2,4.7,30.0,0.0
2017-11-28,0.34025,62.7,58.1,86.6,6.1,30.0,0.0
2017-11-29,0.33075,63.6,61.2,92.7,2.5,30.1,0.0
2017-11-30,0.3257083333333333,62.3,45.3,57.9,5.0,30.1,0.0
2017-12-01,0.37729166666666664,71.5,64.7,80.7,11.1,30.0,0.0
2017-12-02,0.9014166666666666,75.0,65.4,73.6,5.9,30.0,0.0
2017-12-03,0.35401666666666665,55.8,49.5,80.0,12.6,30.0,1.37
2017-12-04,0.40487500000000004,68.5,64.0,86.0,6.3,30.0,0.73
2017-12-05,0.9122083333333334,76.4,64.2,69.0,8.9,29.7,0.33
2017-12-06,1.1435833333333334,83.1,74.1,75.2,10.8,29.8,0.02
2017-12-07,1.0602083333333334,81.9,74.3,78.5,6.8,29.9,0.0
2017-12-08,1.3832083333333334,87.2,75.5,69.8,5.7,29.8,0.0
2017-12-09,0.8602500000000001,73.8,58.3,62.5,4.7,29.7,0.0
2017-12-10,0.9093749999999999,76.3,66.1,72.0,3.5,29.9,0.0
2017-12-11,0.9872083333333332,68.2,58.4,72.3,4.8,30.1,0.0
2017-12-12,0.43695833333333334,53.8,32.3,46.3,8.1,30.1,0.0
2017-12-13,0.4478333333333333,46.9,33.6,64.1,2.7,30.0,0.0
2017-12-14,0.43979166666666664,53.7,42.9,68.8,3.5,29.9,0.0
2017-12-15,0.472,49.9,35.5,59.0,7.8,30.1,0.0
2017-12-16,0.41,51.1,41.5,72.9,9.4,30.0,0.0
